"","mean.ind","n.r.false","cor.stats.num.r","cor.stats.num.v","v1","v2","v3","v4","v5","FDR","v1.alt","v2.alt","v3.alt","v4.alt","v5.alt","FDR.alt"
"1",1,0,0,0,0.00144999999999987,0.00130000000000008,0.00132999999999988,0.00109000000000012,0.00129999999999993,0.000209999999999965,0.0481799999999999,0.0490999999999986,0.0491000000000004,0.0496500000000001,0.0481700000000004,0.0485899999999998
"2",1,0,0,-0.0135135135135135,0.00116000000000003,0.00118000000000008,0.00111000000000003,0.00138999999999992,0.00120000000000005,0.000180000000000003,0.0488899999999999,0.0473699999999994,0.0488499999999994,0.0496599999999994,0.0485699999999997,0.0497700000000001
"3",1,0,0,0.7,0.0103300000000002,0.0104099999999999,0.0106000000000003,0.0109300000000006,0.0103500000000001,0.0100299999999997,0.0241199999999987,0.0248599999999998,0.0238600000000002,0.0251300000000004,0.0250700000000002,0.0296199999999996
"4",1,0,-0.0135135135135135,0,0.00130999999999997,0.00125999999999981,0.0013900000000001,0.00138000000000002,0.00141000000000007,0.000269999999999986,0.0481800000000004,0.0487400000000001,0.0501899999999995,0.04868,0.0484600000000006,0.0494000000000002
"5",1,0,-0.0135135135135135,-0.0135135135135135,0.00115,0.0011399999999999,0.00111999999999994,0.00116999999999997,0.00110999999999984,0.000279999999999954,0.0493100000000005,0.0481500000000003,0.0491500000000014,0.0498400000000001,0.0481599999999995,0.0502300000000007
"6",1,0,-0.0135135135135135,0.7,0.0108000000000003,0.0117200000000001,0.0101899999999999,0.0102999999999996,0.0108100000000003,0.01051,0.0248799999999994,0.0255199999999998,0.0244800000000003,0.0238400000000001,0.02472,0.0299100000000002
"7",1,0,0.7,0.7,0.0102199999999998,0.01023,0.0104099999999998,0.0103400000000004,0.0101600000000002,0.00642999999999948,0.0248800000000003,0.0246699999999997,0.0245300000000005,0.0249599999999999,0.0243300000000003,0.0187300000000001
"8",2,0,0,0,0.0128000000000002,0.0125299999999998,0.0130099999999993,0.0124499999999996,0.0129000000000002,0.00605000000000012,0.27165,0.27231,0.27189,0.27252,0.272990000000001,0.495809999999997
"9",2,0,0,-0.0135135135135135,0.0125800000000001,0.0126599999999997,0.0122799999999997,0.01223,0.0119300000000001,0.00567999999999987,0.273869999999999,0.275259999999999,0.272180000000001,0.27183,0.27143,0.495280000000001
"10",2,0,0,0.7,0.0235899999999998,0.0228799999999997,0.0231500000000001,0.0233100000000002,0.0233499999999996,0.0270299999999995,0.237670000000002,0.237590000000001,0.23988,0.23984,0.23851,0.468720000000001
"11",2,0,-0.0135135135135135,0,0.0129000000000004,0.0129900000000001,0.0131400000000001,0.0130600000000002,0.0138600000000001,0.00621000000000012,0.270239999999999,0.274059999999999,0.271480000000002,0.27262,0.271599999999997,0.496999999999999
"12",2,0,-0.0135135135135135,-0.0135135135135135,0.0119999999999999,0.0125800000000001,0.01234,0.0123299999999998,0.0122899999999999,0.00541999999999985,0.2741,0.27266,0.27266,0.273199999999999,0.273810000000002,0.49883
"13",2,0,-0.0135135135135135,0.7,0.0239500000000005,0.02393,0.0233299999999998,0.0233499999999997,0.02271,0.026759999999999,0.238649999999996,0.240010000000001,0.239219999999999,0.239039999999999,0.239319999999998,0.47272
"14",2,0,0.7,0.7,0.0232200000000003,0.0235200000000003,0.0238199999999995,0.0237999999999998,0.0236199999999995,0.0176199999999994,0.239679999999997,0.23958,0.240659999999999,0.239420000000002,0.2388,0.282389999999998
"15",2,1,0,0,0.823609999999999,0.01248,0.0125699999999999,0.01338,0.0130400000000003,0.00623416666666672,0.9737,0.273109999999999,0.27416,0.2733,0.272079999999998,0.316152166666666
"16",2,1,0,-0.0135135135135135,0.83575,0.0119500000000003,0.0123500000000001,0.0121700000000001,0.0120300000000002,0.00561583333333314,0.97849,0.274639999999998,0.273469999999999,0.27279,0.274380000000001,0.315908666666667
"17",2,1,0,0.7,0.425090000000001,0.0237800000000002,0.0237899999999994,0.0237999999999998,0.0233000000000001,0.0217758333333334,0.817879999999999,0.237989999999999,0.24039,0.240760000000003,0.23953,0.309874
"18",2,1,-0.0135135135135135,0,0.823259999999997,0.0133499999999999,0.0124200000000003,0.0121400000000008,0.0131500000000002,0.0058400000000002,0.974409999999999,0.2714,0.271390000000001,0.272740000000001,0.27468,0.318297
"19",2,1,-0.0135135135135135,-0.0135135135135135,0.83459,0.01207,0.0126299999999998,0.0122699999999999,0.0121299999999999,0.00563499999999995,0.97766,0.27225,0.273389999999996,0.27241,0.272839999999999,0.318333833333334
"20",2,1,-0.0135135135135135,0.7,0.42595,0.0238199999999996,0.0236800000000006,0.0236199999999996,0.0235399999999999,0.0213008333333326,0.817389999999999,0.240109999999999,0.239679999999997,0.23983,0.23894,0.3160725
"21",2,1,0.7,0.7,0.424579999999999,0.0232499999999995,0.0234500000000003,0.0238199999999995,0.0237800000000004,0.016047833333334,0.817429999999999,0.23803,0.238030000000001,0.238109999999998,0.23941,0.212578999999999
"22",2,2,0,0,0.824749999999999,0.826150000000001,0.0127700000000001,0.0131299999999998,0.0125599999999998,0.0054933333333334,0.97407,0.974669999999998,0.27344,0.27243,0.274089999999999,0.203283666666667
"23",2,2,0,-0.0135135135135135,0.83627,0.835119999999998,0.01245,0.0123600000000003,0.0122899999999999,0.00529499999999978,0.97842,0.97882,0.273819999999999,0.27362,0.27586,0.203463166666667
"24",2,2,0,0.7,0.42492,0.423350000000001,0.0229899999999999,0.0235399999999999,0.0234100000000008,0.0159849999999997,0.81887,0.819859999999995,0.237239999999997,0.239160000000001,0.23717,0.199720833333332
"25",2,2,-0.0135135135135135,0,0.822510000000001,0.823069999999999,0.0128800000000002,0.0125000000000003,0.0132799999999998,0.00534833333333332,0.97525,0.97456,0.272070000000001,0.27201,0.274890000000001,0.203818
"26",2,2,-0.0135135135135135,-0.0135135135135135,0.83608,0.835539999999999,0.0123799999999999,0.01168,0.0120899999999997,0.00479000000000008,0.979020000000001,0.97819,0.273590000000001,0.2727,0.274790000000002,0.203683666666667
"27",2,2,-0.0135135135135135,0.7,0.422880000000001,0.424100000000001,0.0243500000000012,0.0234699999999986,0.0232099999999999,0.0162050000000004,0.816920000000001,0.816510000000001,0.239550000000001,0.23898,0.240460000000001,0.203401166666666
"28",2,2,0.7,0.7,0.423860000000001,0.421630000000002,0.0231300000000003,0.0234700000000002,0.0230500000000001,0.0127616666666667,0.81617,0.816870000000001,0.23582,0.237339999999999,0.23665,0.151289166666666
